ID	Name	Label
S2601B_C04_052E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!DISABILITY STATUS!!With a disability
S0503_C02_067E	No Name	Foreign born; Born in Europe!!Estimate!!CLASS OF WORKER!!Self-employed workers in own not incorporated business
S0701PR_C01_039E	No Name	Total!!Estimate!!INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 15 years and over
S2702PR_C02_103E	No Name	Uninsured Population!!Estimate!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!150 to 199 percent of the poverty level
S0102_C02_050E	No Name	60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Different house in the United States!!Different county
S2404_C02_025E	No Name	Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services
S1501_C02_007E	No Name	Male!!Estimate!!Less than 9th grade
S0701PR_C01_016E	No Name	Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American
S0804_C04_079E	No Name	Public transportation (excluding taxicab)!!Estimate!!TRAVEL TIME TO WORK!!15 to 19 minutes
S0102_C02_051E	No Name	60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Different house in the United States!!Different county!!Same state
S0503_C02_089E	No Name	Foreign born; Born in Europe!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!$10,000 to $14,999
S2404_C02_026E	No Name	Male!!Estimate!!Other services, except public administration
S1501_C02_008E	No Name	Male!!Estimate!!9th to 12th grade, no diploma
S0701PR_C01_017E	No Name	Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native
S1501_C02_005E	No Name	Male!!Estimate!!Bachelor's degree or higher
S2601B_C04_061E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Total population
S2404_C02_027E	No Name	Male!!Estimate!!Public administration
S0503_C02_088E	No Name	Foreign born; Born in Europe!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!$1 to $9,999 or loss
S0701PR_C01_018E	No Name	Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian
S2601B_C04_060E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!RESIDENCE 1 YEAR AGO!!Abroad
S1501_C02_006E	No Name	Male!!Estimate!!Population 25 years and over
S2404_C02_028E	No Name	Male!!Estimate!!PERCENT IMPUTED!!Industry
S0503_C02_087E	No Name	Foreign born; Born in Europe!!Estimate!!EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS!!Population 16 years and over with earnings
S0701PR_C01_019E	No Name	Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander
S0804_C04_076E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!9:00 a.m. to 11:59 p.m.
S1501_C02_003E	No Name	Male!!Estimate!!High school graduate (includes equivalency)
S1902_C02_019E	No Name	Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian
S2404_C02_021E	No Name	Male!!Estimate!!Educational services, and health care and social assistance!!Educational services
S0503_C02_086E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Public administration
S0506_C01_110E	No Name	Total!!Estimate!!Average number of workers per household
S0804_C04_075E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!8:30 a.m. to 8:59 a.m.
S1501_C02_004E	No Name	Male!!Estimate!!Some college or associate's degree
S1902_C02_018E	No Name	Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native
S0503_C02_085E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Other services (except public administration)
S2404_C02_022E	No Name	Male!!Estimate!!Educational services, and health care and social assistance!!Health care and social assistance
S0506_C01_111E	No Name	Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population for whom poverty status is determined
S0506_C01_112E	No Name	Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below 100 percent of the poverty level
S0804_C04_078E	No Name	Public transportation (excluding taxicab)!!Estimate!!TRAVEL TIME TO WORK!!10 to 14 minutes
S1501_C02_001E	No Name	Male!!Estimate!!Population 18 to 24 years
S1902_C02_017E	No Name	Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American
S2404_C02_023E	No Name	Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services
S0503_C02_084E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services
S0506_C01_113E	No Name	Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!100 to 199 percent of the poverty level
S1501_C02_002E	No Name	Male!!Estimate!!Less than high school graduate
S0804_C04_077E	No Name	Public transportation (excluding taxicab)!!Estimate!!TRAVEL TIME TO WORK!!Less than 10 minutes
S1902_C02_016E	No Name	Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White
S2404_C02_024E	No Name	Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation
S0503_C02_083E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Educational services, and health care and social assistance
S0102_C02_058E	No Name	60 years and over!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born!!Entered 1990 to 1999
S1811_C02_008E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!Private not-for-profit wage and salary workers
S0102PR_C02_020E	No Name	60 years and over!!Estimate!!RELATIONSHIP!!Nonrelatives!!Unmarried partner
S0503_C02_082E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services
S0102_C02_059E	No Name	60 years and over!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born!!Entered before 1990
S0102PR_C02_021E	No Name	60 years and over!!Estimate!!HOUSEHOLDS BY TYPE!!Households
S1811_C02_009E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!Local government workers
S0503_C02_081E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing
S0102_C02_056E	No Name	60 years and over!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born
S0503_C02_080E	No Name	Foreign born; Born in Europe!!Estimate!!INDUSTRY!!Information
S1811_C02_006E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!Private for-profit wage and salary workers!!Employee of private company workers
S0102_C02_057E	No Name	60 years and over!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born!!Entered 2000 or later
S2404_C02_020E	No Name	Male!!Estimate!!Educational services, and health care and social assistance
S1811_C02_007E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers
S1811_C02_004E	No Name	With a Disability!!Estimate!!Employed Population Age 16 and Over
S0102_C02_054E	No Name	60 years and over!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Total population
S0102PR_C02_024E	No Name	60 years and over!!Estimate!!HOUSEHOLDS BY TYPE!!Family households!!Female householder, no husband present, family
S0102_C02_055E	No Name	60 years and over!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Native
S0102PR_C02_025E	No Name	60 years and over!!Estimate!!HOUSEHOLDS BY TYPE!!Nonfamily households
S1811_C02_005E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!Private for-profit wage and salary workers
S1811_C02_002E	No Name	With a Disability!!Estimate!!EMPLOYMENT STATUS!!Employed
S0102_C02_052E	No Name	60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Different house in the United States!!Different county!!Different state
S0102PR_C02_022E	No Name	60 years and over!!Estimate!!HOUSEHOLDS BY TYPE!!Family households
S1811_C02_003E	No Name	With a Disability!!Estimate!!EMPLOYMENT STATUS!!Not in Labor Force
S0102_C02_053E	No Name	60 years and over!!Estimate!!RESIDENCE 1 YEAR AGO!!Abroad
S0102PR_C02_023E	No Name	60 years and over!!Estimate!!HOUSEHOLDS BY TYPE!!Family households!!Married-couple family
S1811_C02_012E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!Self-employed in own not incorporated business workers
S0102PR_C02_016E	No Name	60 years and over!!Estimate!!RELATIONSHIP!!Householder or spouse
S2405_C05_015E	No Name	Natural resources, construction, and maintenance occupations!!Estimate!!PERCENT IMPUTED!!Industry
S1811_C02_013E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!Unpaid family workers
S0102PR_C02_017E	No Name	60 years and over!!Estimate!!RELATIONSHIP!!Parent
S2405_C05_014E	No Name	Natural resources, construction, and maintenance occupations!!Estimate!!Public administration
S1811_C02_010E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!State government workers
S0102PR_C02_014E	No Name	60 years and over!!Estimate!!White alone, not Hispanic or Latino
S2405_C05_013E	No Name	Natural resources, construction, and maintenance occupations!!Estimate!!Other services, except public administration
S1811_C02_011E	No Name	With a Disability!!Estimate!!CLASS OF WORKER!!Federal government workers
S0102PR_C02_015E	No Name	60 years and over!!Estimate!!RELATIONSHIP!!Population in households
S2405_C05_012E	No Name	Natural resources, construction, and maintenance occupations!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services
S2405_C05_011E	No Name	Natural resources, construction, and maintenance occupations!!Estimate!!Educational services, and health care and social assistance
S0102PR_C02_018E	No Name	60 years and over!!Estimate!!RELATIONSHIP!!Other relatives
S2405_C05_010E	No Name	Natural resources, construction, and maintenance occupations!!Estimate!!Professional, scientific, and management, and administrative and waste management services
S0102PR_C02_019E	No Name	60 years and over!!Estimate!!RELATIONSHIP!!Nonrelatives
S0506_C01_102E	No Name	Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!With Supplemental Security Income
S0701PR_C01_020E	No Name	Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race
S2601B_C04_067E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born!!Female
S1902_C02_027E	No Name	Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months
S0804_C04_072E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!7:00 a.m. to 7:29 a.m.
S0701PR_C01_021E	No Name	Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races
S0506_C01_103E	No Name	Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!With Supplemental Security Income!!Mean Supplemental Security Income (dollars)
S2601B_C04_066E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born!!Male
S1902_C02_026E	No Name	Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months
S0804_C04_071E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!6:30 a.m. to 6:59 a.m.
S0701PR_C01_022E	No Name	Total!!Estimate!!Hispanic or Latino origin (of any race)
S0506_C01_104E	No Name	Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!With cash public assistance income
S1902_C02_025E	No Name	Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months
S0804_C04_074E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!8:00 a.m. to 8:29 a.m.
S0701PR_C01_023E	No Name	Total!!Estimate!!White alone, not Hispanic or Latino
S0506_C01_105E	No Name	Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!With cash public assistance income!!Mean cash public assistance income (dollars)
S2601B_C04_068E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born!!Naturalized U.S. citizen
S1902_C02_024E	No Name	Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino
S2601B_C04_069E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born!!Naturalized U.S. citizen!!Male
S0804_C04_073E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!7:30 a.m. to 7:59 a.m.
S0701PR_C01_024E	No Name	Total!!Estimate!!CITIZENSHIP STATUS!!Native
S0506_C01_106E	No Name	Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!With retirement income
S2601B_C04_063E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Native!!Male
S1902_C02_023E	No Name	Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)
S0506_C01_107E	No Name	Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!With retirement income!!Mean retirement income (dollars)
S2601B_C04_062E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Native
S1902_C02_022E	No Name	Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races
S0701PR_C01_025E	No Name	Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born
S0506_C01_108E	No Name	Total!!Estimate!!INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!With Food Stamp/SNAP benefits
S2601B_C04_065E	No Name	Nursing facilities/skilled nursing facilities!!Estimate!!PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY!!Foreign born
S1902_C02_021E	No Name	Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race
S0804_C04_070E	No Name	Public transportation (excluding taxicab)!!Estimate!!TIME ARRIVING AT WORK FROM HOME!!6:00 a.m. to 6:29 a.m.
S1501_C02_009E	No Name	Male!!Estimate!!High school graduate (includes equivalency)
S0701PR_C01_026E	No Name	Total!!Estimate!!CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen
S0506_C01_109E	No Name	Total!!Estimate!!Median Household income (dollars)
